alimento_normalizado,kcal_100g,origen,archivo,alimento
Abadejo Carne,72.0,ARGENFOOD,argen_pescados.xls,Abadejo, fresco, crudo, carne
Aceite Comestible Mezcla Lira 85% Girasol 15% Oliva,900.0,ARGENFOOD,argen_grasas.xls,Aceite comestible mezcla Lira, 85% girasol, 15% oliva
Aceite Comestible Mezcla Patito 94% Girasol 6% Maiz,900.0,ARGENFOOD,argen_grasas.xls,Aceite comestible mezcla Patito, 94% girasol, 6% maiz
Aceite De Canola,900.0,ARGENFOOD,argen_grasas.xls,Aceite de canola
Aceite De Girasol Familiar,900.0,ARGENFOOD,argen_grasas.xls,Aceite de girasol Familiar
Aceite De Girasol Ideal,900.0,ARGENFOOD,argen_grasas.xls,Aceite de girasol Ideal
Aceite De Girasol Natura,900.0,ARGENFOOD,argen_grasas.xls,Aceite de girasol Natura
Aceite De Maiz Arcor,900.0,ARGENFOOD,argen_grasas.xls,Aceite de maiz Arcor
Aceite De Maiz Cocinero,900.0,ARGENFOOD,argen_grasas.xls,Aceite de maiz Cocinero
Aceite De Maiz Mazzola,900.0,ARGENFOOD,argen_grasas.xls,Aceite de maiz Mazzola
Aceite De Oliva Cocinero,900.0,ARGENFOOD,argen_grasas.xls,Aceite de oliva Cocinero
Aceite De Uva Cocinero,900.0,ARGENFOOD,argen_grasas.xls,Aceite de uva Cocinero
Aceituna De Monte,93.0,ARGENFOOD,argen_frutas.xls,Aceituna de monte
Aceituna Verde Pulpa Encurtida,144.0,ARGENFOOD,argen_frutas.xls,Aceituna verde, pulpa, encurtida
Acelga Hoja,15.0,ARGENFOOD,argen_vegetales.xls,Acelga, hoja
Acelga Tallo,8.0,ARGENFOOD,argen_vegetales.xls,Acelga, tallo
Achicoria De Monte,46.0,ARGENFOOD,argen_vegetales.xls,Achicoria de Monte
Achicoria Hoja Fresca Cruda,21.0,ARGENFOOD,argen_vegetales.xls,Achicoria, hoja, fresca, cruda
Achira (Raices),34.0,ARGENFOOD,argen_vegetales.xls,Achira (raíces)
Ajo Bulbo,99.0,ARGENFOOD,argen_vegetales.xls,Ajo, bulbo, fresco, crudo
Alcaucil Inflorescencia,63.0,ARGENFOOD,argen_vegetales.xls,Alcaucil, inflorescencia, fresco, crudo
Alfalfa Hoja Fresca Cruda,57.0,ARGENFOOD,argen_vegetales.xls,Alfalfa, hoja, fresca, cruda
Amaranto Semilla Cruda (Amarantus Caudatus),384.0,ARGENFOOD,argen_cereales.xls,Amaranto, semilla, cruda (Amarantus caudatus)
Amaranto Semilla Cruda (Amarantus Hipochondriacus),381.0,ARGENFOOD,argen_cereales.xls,Amaranto, semilla, cruda (Amarantus hipochondriacus)
Amaranto Semilla Cruda (Amarantus Mantegazzianus),388.0,ARGENFOOD,argen_cereales.xls,Amaranto, semilla, cruda (Amarantus mantegazzianus)
Amaranto Semillia Cruda (Amarantus Cruentus),384.0,ARGENFOOD,argen_cereales.xls,Amaranto, semillia, cruda (Amarantus cruentus)
Amarillo A La Parrilla Musculo Dorsal,183.0,ARGENFOOD,argen_pescados.xls,Amarillo, fresco, a la parrilla, músculo dorsal
Amarillo Al Horno Musculo Dorsal,233.0,ARGENFOOD,argen_pescados.xls,Amarillo, fresco, al horno, músculo dorsal
Amarillo Frito Musculo Dorsal,232.0,ARGENFOOD,argen_pescados.xls,Amarillo, fresco, frito, músculo dorsal
Amarillo Hervido Musculo Dorsal,180.0,ARGENFOOD,argen_pescados.xls,Amarillo, fresco, hervido, músculo dorsal
Amarillo Musculo Dorsal,141.0,ARGENFOOD,argen_pescados.xls,Amarillo, fresco, crudo, músculo dorsal
Anana Enlatado Contenido Envase,87.0,ARGENFOOD,argen_frutas.xls,Ananá enlatado, contenido envase
Anana Pulpa,58.0,ARGENFOOD,argen_frutas.xls,Ananá, pulpa, fresco
Anchoa Pasta,202.0,ARGENFOOD,argen_pescados.xls,Ancho, pasta
Anchoa Fresca Cruda Carne,92.0,ARGENFOOD,argen_pescados.xls,Anchoa, fresca, cruda, carne
Anchoita Fresca Cruda Carne,129.0,ARGENFOOD,argen_pescados.xls,Anchoita, fresca, cruda, carne
Armado Al Horno Musculo Dorsal,128.0,ARGENFOOD,argen_pescados.xls,Armado, fresco, al horno, músculo dorsal
Armado Frito Musculo Dorsal,130.0,ARGENFOOD,argen_pescados.xls,Armado, fresco, frito, músculo dorsal
Armado Hervido Musculo Dorsal,102.0,ARGENFOOD,argen_pescados.xls,Armado, fresco, hervido, músculo dorsal
Armado Musculo Dorsal,75.0,ARGENFOOD,argen_pescados.xls,Armado, fresco, crudo, músculo dorsal
Armado Musculo Ventral,103.0,ARGENFOOD,argen_pescados.xls,Armado, fresco, crudo, músculo ventral
Arroz Grano Blanco Pulido,339.0,ARGENFOOD,argen_cereales.xls,Arroz, grano, blanco, pulido, crudo
Arroz Grano Blanco Pulido Hervido,82.0,ARGENFOOD,argen_cereales.xls,Arroz, grano, blanco, pulido, hervido
Arveja Semilla Fresca Cruda,102.0,ARGENFOOD,argen_vegetales.xls,Arveja, semilla, fresca, cruda
Arveja Semilla Fresca Enlatada,105.0,ARGENFOOD,argen_vegetales.xls,Arveja, semilla, fresca, enlatada
Arveja Semilla Fresca Hervida,77.0,ARGENFOOD,argen_vegetales.xls,Arveja, semilla, fresca, hervida
Arveja Semilla Seca Entera Cruda,304.0,ARGENFOOD,argen_vegetales.xls,Arveja, semilla, seca, entera, cruda
Arveja Semilla Seca Partida Cruda,311.0,ARGENFOOD,argen_vegetales.xls,Arveja, semilla, seca, partida, cruda
Arveja Semilla Seca Partida Hervida,129.0,ARGENFOOD,argen_vegetales.xls,Arveja, semilla, seca, partida, hervida
Avellana Pepita Seca,668.0,ARGENFOOD,argen_vegetales.xls,Avellana, pepita, seca
Avena Grano Arrollada Cruda,343.0,ARGENFOOD,argen_cereales.xls,Avena, grano, arrollada, cruda
Avena Grano Arrollada Cruda,383.0,ARGENFOOD,argen_cereales.xls,Avena , grano, arrollada, cruda
Avena Grano Arrollada Hervida,86.0,ARGENFOOD,argen_cereales.xls,Avena, grano, arrollada, hervida
Banana Pulpa Fresca,99.0,ARGENFOOD,argen_frutas.xls,Banana, pulpa, fresca
Batata Dulce,263.0,ARGENFOOD,argen_prodaz.xls,Batata, dulce
Batata Frita,212.0,ARGENFOOD,argen_vegetales.xls,Batata, frita
Batata Hervida,92.0,ARGENFOOD,argen_vegetales.xls,Batata, hervida
Batata Raiz Fresca Cruda,84.0,ARGENFOOD,argen_vegetales.xls,Batata, raiz, fresca, cruda
Berenjena Pulpa Fresca Cruda,28.0,ARGENFOOD,argen_vegetales.xls,Berenjena, pulpa, fresca, cruda
Berro (Hojas Y Tallo),23.0,ARGENFOOD,argen_vegetales.xls,Berro (hojas y tallo), fresco, crudo
Besugo Carne,100.0,ARGENFOOD,argen_pescados.xls,Besugo, fresco, crudo, carne
Bife,120.0,ARGENFOOD,argen_carnes.xls,Bife, crudo
Bife,233.0,ARGENFOOD,argen_carnes.xls,Bife, cocido
Bife,236.0,ARGENFOOD,argen_carnes.xls,Bife, cocido
Boga Fresca A La Parrilla Musculo Dorsal,150.0,ARGENFOOD,argen_pescados.xls,Boga, fresca, a la parrilla, músculo dorsal
Boga Fresca Al Horno Musculo Dorsal,150.0,ARGENFOOD,argen_pescados.xls,Boga, fresca, al horno, músculo dorsal
Boga Fresca Cruda Musculo Ventral,180.0,ARGENFOOD,argen_pescados.xls,Boga, fresca, cruda, músculo ventral
Boga Fresca Frita Musculo Dorsal,168.0,ARGENFOOD,argen_pescados.xls,Boga, fresca, frita, músculo dorsal
Boga Fresca Hervida Musculo Dorsal,158.0,ARGENFOOD,argen_pescados.xls,Boga, fresca, hervida, músculo dorsal
Bonito Carne,219.0,ARGENFOOD,argen_pescados.xls,Bonito, fresco, crudo, carne
Brocoli Tallo De Hoja,37.0,ARGENFOOD,argen_vegetales.xls,Brócoli, tallo de hoja, fresco, crudo
Brotola Fresca Cruda Carne,83.0,ARGENFOOD,argen_pescados.xls,Brótola, fresca, cruda, carne
Caballa Fresca Cruda Carne,232.0,ARGENFOOD,argen_pescados.xls,Caballa, fresca, cruda, carne
Caballa Tronco,212.0,ARGENFOOD,argen_pescados.xls,Caballa, tronco
Calamar (Tubo Aletas Y Tentaculos),79.0,ARGENFOOD,argen_pescados.xls,Calamar, fresco, crudo (tubo aletas y tentáculos)
Calamar Entero,80.0,ARGENFOOD,argen_pescados.xls,Calamar, fresco, entero, crudo
Camaron Carne De Cola,91.0,ARGENFOOD,argen_pescados.xls,Camarón, fresco, crudo, carne de cola
Cardo (Penca Y Hojas),25.0,ARGENFOOD,argen_vegetales.xls,Cardo (penca y hojas), fresco, crudo
Carne De Vizcacha,46.0,ARGENFOOD,argen_carnes.xls,Carne de vizcacha
Castana De Para Pepita Cruda,731.0,ARGENFOOD,argen_vegetales.xls,Castaña de Pará, pepita, cruda
Castaneta Fresca Cruda Carne,95.0,ARGENFOOD,argen_pescados.xls,Castañeta, fresca, cruda, carne
Castaneta Fresca Cruda Entera,170.0,ARGENFOOD,argen_pescados.xls,Castañeta, fresca, cruda, entera
Cebada Grano Mondado Perlado,317.0,ARGENFOOD,argen_cereales.xls,Cebada, grano, mondado, perlado, crudo
Cebada Grano Mondado Perlado Hervido,82.0,ARGENFOOD,argen_cereales.xls,Cebada, grano, mondado, perlado, hervido
Cebada Harina Genser Cruda,328.0,ARGENFOOD,argen_cereales.xls,Cebada, harina Genser, cruda
Cebolla Blanca Bulbo Cruda,17.0,ARGENFOOD,argen_vegetales.xls,Cebolla blanca, bulbo, cruda
Cebolla Blanca Bulbo Hervida,10.0,ARGENFOOD,argen_vegetales.xls,Cebolla blanca, bulbo, hervida
Centeno Harina Clara Cruda,332.0,ARGENFOOD,argen_cereales.xls,Centeno, harina, clara, cruda
Centeno Pan,206.0,ARGENFOOD,argen_cereales.xls,Centeno, pan
Centeno Pan Con Harina Integral,214.0,ARGENFOOD,argen_cereales.xls,Centeno, pan con harina integral
Centolla Fresca (Carne De Pata Solamente),83.0,ARGENFOOD,argen_pescados.xls,Centolla, fresca (carne de pata solamente)
Centolla Fresca Carne Cruda,66.0,ARGENFOOD,argen_pescados.xls,Centolla, fresca, carne, cruda
Cerdo Chorizo,454.0,ARGENFOOD,argen_carnes.xls,Cerdo, chorizo, fresco, crudo
Cerdo Costilla A La Parrilla,320.0,ARGENFOOD,argen_carnes.xls,Cerdo, costilla, a la parrilla
Cerdo Costilla Flaca Cruda,250.0,ARGENFOOD,argen_carnes.xls,Cerdo, costilla flaca, cruda
Cerdo Jamon,211.0,ARGENFOOD,argen_carnes.xls,Cerdo, jamón cocido
Cerdo Jamon,473.0,ARGENFOOD,argen_carnes.xls,Cerdo, jamón crudo
Cerdo Panceta,670.0,ARGENFOOD,argen_carnes.xls,Cerdo, panceta
Cereza Pulpa Fresca,68.0,ARGENFOOD,argen_frutas.xls,Cereza, pulpa, fresca
Chaucha Vaina Y Semilla Cruda,22.0,ARGENFOOD,argen_vegetales.xls,Chaucha, vaina y semilla, cruda
Chocolatin,549.0,ARGENFOOD,argen_prodaz.xls,Chocolatín
Ciruela Mermelada,306.0,ARGENFOOD,argen_prodaz.xls,Ciruela, mermelada
Ciruela Pasa Cruda,255.0,ARGENFOOD,argen_frutas.xls,Ciruela, pasa, cruda
Ciruela Pasa Hervida,165.0,ARGENFOOD,argen_frutas.xls,Ciruela, pasa, hervida
Ciruela Pulpa Fresca,56.0,ARGENFOOD,argen_frutas.xls,Ciruela, pulpa, fresca
Coco Pulpa,382.0,ARGENFOOD,argen_frutas.xls,Coco, pulpa, fresco, crudo
Coliflor Pimpollo,31.0,ARGENFOOD,argen_vegetales.xls,Coliflor, pimpollo, fresco, crudo
Congrio Carne,107.0,ARGENFOOD,argen_pescados.xls,Congrio, fresco, crudo, carne
Cordero Carne De La Paleta,99.0,ARGENFOOD,argen_carnes.xls,Cordero, carne de la paleta, crudo
Cordero Carne De La Paleta Flaca A La Parrilla,182.0,ARGENFOOD,argen_carnes.xls,Cordero, carne de la paleta, flaca, a la parrilla
Cornalito Entero,86.0,ARGENFOOD,argen_pescados.xls,Cornalito, fresco, crudo, entero
Corvina Blanca Fresca Cruda Carne,97.0,ARGENFOOD,argen_pescados.xls,Corvina blanca, fresca, cruda, carne
Corvina Negra Fresca Cruda Carne,84.0,ARGENFOOD,argen_pescados.xls,Corvina negra, fresca, cruda, carne
Damasco Pulpa,57.0,ARGENFOOD,argen_frutas.xls,Damasco, pulpa, fresco, crudo
Diente De Leon Hoja,33.0,ARGENFOOD,argen_vegetales.xls,Diente de león, hoja
Doca,49.0,ARGENFOOD,argen_frutas.xls,Doca
Dorado Carne,80.0,ARGENFOOD,argen_pescados.xls,Dorado, fresco, crudo, carne
Dulce De Leche,314.0,ARGENFOOD,argen_prodaz.xls,Dulce de leche
Dulce De Leche Light,260.0,ARGENFOOD,argen_prodaz.xls,Dulce de Leche Light
Dulce De Leche Para Reposteria,317.0,ARGENFOOD,argen_prodaz.xls,Dulce de leche para reposteria
Dulce De Leche Repostero Suelto,337.0,ARGENFOOD,argen_prodaz.xls,Dulce de leche repostero suelto
Durazno Mermelada,304.0,ARGENFOOD,argen_prodaz.xls,Durazno, mermelada
Durazno Orejon Pulpa Y Piel Hervido,40.0,ARGENFOOD,argen_frutas.xls,Durazno orejón, pulpa y piel, hervido
Durazno Pulpa,51.0,ARGENFOOD,argen_frutas.xls,Durazno, pulpa, fresco, crudo
Durazno Pulpa Envasado Al Natural,75.0,ARGENFOOD,argen_frutas.xls,Durazno, pulpa, envasado al natural
Escarola Crespa Hoja Cruda,24.0,ARGENFOOD,argen_vegetales.xls,Escarola crespa, hoja, cruda
Esparrago Tallo Tierno,26.0,ARGENFOOD,argen_vegetales.xls,Esparrago, tallo tierno, fresco, crudo
Espinaca Hoja Fresca Cruda,24.0,ARGENFOOD,argen_vegetales.xls,Espinaca, hoja, fresca, cruda
Espinaca Hoja Fresca Hervida,13.0,ARGENFOOD,argen_vegetales.xls,Espinaca, hoja, fresca, hervida
Frutilla Mermelada,309.0,ARGENFOOD,argen_prodaz.xls,Frutilla, mermelada
Frutilla Pulpa Fresca Cruda,41.0,ARGENFOOD,argen_frutas.xls,Frutilla pulpa, fresca, cruda
Garbanzo Grano Entero Seco Hervido,125.0,ARGENFOOD,argen_vegetales.xls,Garbanzo, grano entero, seco, hervido
Gatuso Carne,72.0,ARGENFOOD,argen_pescados.xls,Gatuso, fresco, crudo, carne
Granada Pulpa Fresca,75.0,ARGENFOOD,argen_frutas.xls,Granada, pulpa, fresca
Grasa De Cerdo,898.0,ARGENFOOD,argen_grasas.xls,Grasa de cerdo
Grasa Vacuna,899.0,ARGENFOOD,argen_grasas.xls,Grasa Vacuna
Guaranina Brumelia Obtusifolia,147.0,ARGENFOOD,argen_frutas.xls,Guaraniná, Brumelia obtusifolia
Habas Semilla Inmadura Fresca Cruda,99.0,ARGENFOOD,argen_vegetales.xls,Habas, semilla inmadura, fresca, cruda
Hamburguesas Light Asada,199.0,ARGENFOOD,argen_carnes.xls,Hamburguesas light asada
Hamburguesas Regulares De Carne Vacuna Asadas,248.0,ARGENFOOD,argen_carnes.xls,Hamburguesas regulares de carne vacuna asadas
Higo Pulpa Fresca,88.0,ARGENFOOD,argen_frutas.xls,Higo, pulpa, fresca
Hinojo Tallo,24.0,ARGENFOOD,argen_vegetales.xls,Hinojo, tallo, fresco, crudo
Huevo De Codorniz Entero,174.0,ARGENFOOD,argen_huevo.xls,Huevo de codorniz, entero, crudo
Huevo De Gallina Clara,54.0,ARGENFOOD,argen_huevo.xls,Huevo de gallina, clara, cocido
Huevo De Gallina Clara Cruda,48.0,ARGENFOOD,argen_huevo.xls,Huevo de gallina, clara, cruda
Huevo De Gallina Entero,156.0,ARGENFOOD,argen_huevo.xls,Huevo de gallina, entero, crudo
Huevo De Gallina Frito,196.0,ARGENFOOD,argen_huevo.xls,Huevo de gallina, frito
Huevo De Gallina Poche,152.0,ARGENFOOD,argen_huevo.xls,Huevo de gallina, poché
Huevo De Gallina Yema Cruda,325.0,ARGENFOOD,argen_huevo.xls,Huevo de gallina, yema, cruda
Jamon Villafranca Novissimo.El Bierzo. Reducido En Colesterol,98.0,ARGENFOOD,argen_carnes.xls,Jamon cocido Villafranca Novissimo.El Bierzo. Reducido en colesterol
Jurel Carne,149.0,ARGENFOOD,argen_pescados.xls,Jurel, fresco, crudo, carne
Kaki Pulpa,87.0,ARGENFOOD,argen_frutas.xls,Kaki, pulpa, fresco
Kinoto Pulpa Y Cascara,73.0,ARGENFOOD,argen_frutas.xls,Kinoto, pulpa y cáscara, fresco, crudo
Langostino Carne De Cola,97.0,ARGENFOOD,argen_pescados.xls,Langostino, fresco, crudo, carne de cola
Leche Condensada Nestle,328.0,ARGENFOOD,argen_leche.xls,Leche, condensada, Nestlé
Leche De Burra Entera Fluida,45.0,ARGENFOOD,argen_leche.xls,Leche de burra, entera, fluida
Leche De Cabra Entera Fluida,78.0,ARGENFOOD,argen_leche.xls,Leche de cabra, entera, fluida
Leche De Oveja Entera Fluida,99.0,ARGENFOOD,argen_leche.xls,Leche de oveja, entera, fluida
Leche De Vaca Entera Fluida Adicionada Con Vitamina A,57.0,ARGENFOOD,argen_leche.xls,Leche de vaca, entera, fluida, adicionada con vitamina A
Leche De Vaca Entera Fluida Pasteurizada,57.0,ARGENFOOD,argen_leche.xls,Leche de vaca, entera, fluida, pasteurizada
Leche De Vaca Parcialm. Descremada Adic. Con Vit A Y D,44.0,ARGENFOOD,argen_leche.xls,Leche de vaca parcialm. descremada, adic. con vit A y D
Leche Dulce De Leche,341.0,ARGENFOOD,argen_prodaz.xls,Leche, dulce de leche
Leche En Polvo Descremada,370.0,ARGENFOOD,argen_leche.xls,Leche en polvo descremada
Leche En Polvo Entera,489.0,ARGENFOOD,argen_leche.xls,Leche en polvo entera
Leche Humana Entera En Polvo,520.0,ARGENFOOD,argen_leche.xls,Leche humana, entera, en polvo
Leche Humana Entera Fluida,71.0,ARGENFOOD,argen_leche.xls,Leche humana, entera, fluida
Lengua De Vaca Hojas Tejido,43.0,ARGENFOOD,argen_vegetales.xls,Lengua de vaca, hojas, tejido fresco, parte comestible
Lenguado Carne,78.0,ARGENFOOD,argen_pescados.xls,Lenguado, fresco, crudo, carne
Lenteja Semilla Entera Seca Cruda,350.0,ARGENFOOD,argen_vegetales.xls,Lenteja, semilla entera, seca, cruda
Limon Pulpa,44.0,ARGENFOOD,argen_frutas.xls,Limón, pulpa, fresco
Lisa Fresca Cruda Carne,146.0,ARGENFOOD,argen_pescados.xls,Lisa, fresca, cruda, carne
Lomo Ahumado De Cerdo Villafranca Novissimo. El Bierzo. Reducido En Sodio Y En Colesterol,95.0,ARGENFOOD,argen_carnes.xls,Lomo ahumado de cerdo cocido Villafranca Novissimo. El Bierzo. Reducido en sodio y en colesterol
Lupino Andino Semilla,399.0,ARGENFOOD,argen_vegetales.xls,Lupino andino, con cáscara, semilla, crudo
Lupino Andino Semilla,411.0,ARGENFOOD,argen_vegetales.xls,Lupino andino, sin cáscara, semilla, crudo
Maiz Amarillo Leales Grano Entero,346.0,ARGENFOOD,argen_cereales.xls,Maiz, amarillo Leales, grano entero, crudo
Maiz Amarillo Pisingallo Grano Entero,345.0,ARGENFOOD,argen_cereales.xls,Maiz amarillo, pisingallo, grano entero, crudo
Maiz Amarillo Semola Grano Entero,305.0,ARGENFOOD,argen_cereales.xls,Maiz amarillo, sémola, grano entero, crudo
Maiz Amarillo Tropico 327 Grano Entero,344.0,ARGENFOOD,argen_cereales.xls,Maiz, amarillo trópico 327, grano entero, crudo
Maiz Blanco 8 Rayas Grano Entero,340.0,ARGENFOOD,argen_cereales.xls,Maiz, blanco 8 rayas, grano entero, crudo
Maiz Blanco Perla Grano Entero,335.0,ARGENFOOD,argen_cereales.xls,Maiz, blanco perla, grano entero, crudo
Maiz Choclo,97.0,ARGENFOOD,argen_cereales.xls,Maiz, choclo
Maiz Grano Entero (Zea Mays Spp),346.0,ARGENFOOD,argen_cereales.xls,Maiz, grano, entero (Zea mays spp)
Maiz Harina Amarilla (Polenta) Cruda,338.0,ARGENFOOD,argen_cereales.xls,Maiz, harina amarilla (polenta), cruda
Maiz Harina Amarilla (Polenta) Cruda,369.0,ARGENFOOD,argen_cereales.xls,Maiz, harina amarilla (polenta), cruda
Maiz Harina Amarilla (Polenta) Hervida,68.0,ARGENFOOD,argen_cereales.xls,Maiz, harina amarilla (polenta), hervida
Maiz Pan,275.0,ARGENFOOD,argen_cereales.xls,Maiz, pan
Mani Semilla Con Piel,576.0,ARGENFOOD,argen_vegetales.xls,Maní, semilla con piel, crudo
Mani Semilla Sin Piel Tostado,592.0,ARGENFOOD,argen_vegetales.xls,Maní, semilla sin piel, tostado
Manteca Fresca,758.0,ARGENFOOD,argen_leche.xls,Manteca, fresca
Manzana Hervida,26.0,ARGENFOOD,argen_frutas.xls,Manzana, hervida
Manzana Pulpa Fresca Cruda,64.0,ARGENFOOD,argen_frutas.xls,Manzana, pulpa, fresca, cruda
Margarina 100% Vegetal Delicia,747.0,ARGENFOOD,argen_grasas.xls,Margarina 100% vegetal Delicia
Margarina 100% Vegetal Manty (En Pote Y En Pan),747.0,ARGENFOOD,argen_grasas.xls,Margarina 100% vegetal Manty (en pote y en pan)
Margarina Reducida En Calorias Manty Liviana,504.0,ARGENFOOD,argen_grasas.xls,Margarina reducida en calorias Manty liviana
Mastuerzo (Hoja Y Peciolo),51.0,ARGENFOOD,argen_vegetales.xls,Mastuerzo (hoja y pecíolo), fresco, crudo
Mastuerzo Hoja,50.0,ARGENFOOD,argen_vegetales.xls,Mastuerzo, hoja
Mayonesa Reducida En Calorias,320.0,ARGENFOOD,argen_misc.xls,Mayonesa reducida en calorías
Mayonesa Ri-K,723.0,ARGENFOOD,argen_misc.xls,Mayonesa Ri-k
Mburucuya Maduro,84.0,ARGENFOOD,argen_frutas.xls,Mburucuyá maduro
Mburucuya Verde,59.0,ARGENFOOD,argen_frutas.xls,Mburucuyá verde
Mejillon (Capturado En Primavera),95.0,ARGENFOOD,argen_pescados.xls,Mejillón, fresco, crudo (capturado en primavera)
Mejillon Carne,64.0,ARGENFOOD,argen_pescados.xls,Mejillón, fresco, crudo, carne
Mejillon Pre- Carne,84.0,ARGENFOOD,argen_pescados.xls,Mejillón, fresco, pre-cocido, carne
Melon Pulpa,28.0,ARGENFOOD,argen_frutas.xls,Melón, pulpa, fresco
Membrillo Pulpa,58.0,ARGENFOOD,argen_frutas.xls,Membrillo, pulpa, fresco, crudo
