origen,archivo,alimento,kcal_100g,alimento_normalizado
ARGENFOOD,argen_leche.xls,Queso  Blanco Argentino Semimagro,104,Queso Blanco Argentino Semimagro
ARGENFOOD,argen_leche.xls,Queso Belpaese,309,Queso Belpaese
ARGENFOOD,argen_leche.xls,Queso Camembert,287,Queso Camembert
ARGENFOOD,argen_leche.xls,Queso cremoso,302,Queso Cremoso
ARGENFOOD,argen_leche.xls,Queso cuartirolo,291,Queso Cuartirolo
ARGENFOOD,argen_leche.xls,Queso doble crema,260,Queso Doble Crema
ARGENFOOD,argen_leche.xls,Queso Limburgués,324,Queso Limburgues
ARGENFOOD,argen_leche.xls,Queso mozarella,282,Queso Mozarella
ARGENFOOD,argen_leche.xls,Queso Por Salut,301,Queso Por Salut
ARGENFOOD,argen_leche.xls,Queso azul,377,Queso Azul
ARGENFOOD,argen_leche.xls,Queso Cheddar,357,Queso Cheddar
ARGENFOOD,argen_leche.xls,Queso Chubut,328,Queso Chubut
ARGENFOOD,argen_leche.xls,Queso Fontina,340,Queso Fontina
ARGENFOOD,argen_leche.xls,Queso Gorgonzola,480,Queso Gorgonzola
ARGENFOOD,argen_leche.xls,Queso Gruyere,379,Queso Gruyere
ARGENFOOD,argen_leche.xls,Queso Holanda,345,Queso Holanda
ARGENFOOD,argen_leche.xls,Queso Pategrás,410,Queso Pategras
ARGENFOOD,argen_leche.xls,Queso Roquefort,426,Queso Roquefort
ARGENFOOD,argen_leche.xls,Queso Suizo,404,Queso Suizo
ARGENFOOD,argen_leche.xls,Queso Tafí,358,Queso Tafi
ARGENFOOD,argen_leche.xls,Queso Tandil,345,Queso Tandil
ARGENFOOD,argen_leche.xls,Queso tipo Mar del Plata,332,Queso Tipo Mar Del Plata
ARGENFOOD,argen_leche.xls,Queso Goya,402,Queso Goya
ARGENFOOD,argen_leche.xls,Queso Parmesano,350,Queso Parmesano
ARGENFOOD,argen_leche.xls,Queso Provolone,391,Queso Provolone
ARGENFOOD,argen_leche.xls,Queso Reggianito,365,Queso Reggianito
ARGENFOOD,argen_leche.xls,Queso Sardo,402,Queso Sardo
ARGENFOOD,argen_leche.xls,Queso Sbrinz,357,Queso Sbrinz
ARGENFOOD,argen_leche.xls,Ricota de leche entera,168,Ricota De Leche Entera
ARGENFOOD,argen_leche.xls,Ricotta semidescremada,168,Ricotta Semidescremada
ARGENFOOD,argen_leche.xls,Yogur descremado,59,Yogur Descremado
ARGENFOOD,argen_leche.xls,Yogur descremado bebible,30,Yogur Descremado Bebible
ARGENFOOD,argen_leche.xls,Yogur descremado fortificado con Ca,48,Yogur Descremado Fortificado Con Ca
ARGENFOOD,argen_leche.xls,Yogur entero bebible,82,Yogur Entero Bebible
ARGENFOOD,argen_leche.xls,Yogur entero natural,66,Yogur Entero Natural
ARGENFOOD,argen_leche.xls,Yogur entero saborizado,88,Yogur Entero Saborizado
ARGENFOOD,argen_misc.xls,Alimento,Energía,Alimento
ARGENFOOD,argen_misc.xls,Mayonesa reducida en calorías,320,Mayonesa Reducida En Calorias
ARGENFOOD,argen_misc.xls,Mayonesa Ri-k,723,Mayonesa Ri-K
ARGENFOOD,argen_misc.xls,Mortadela,245,Mortadela
ARGENFOOD,argen_misc.xls,Polen de Totora,288,Polen De Totora
ARGENFOOD,argen_pescados.xls,Alimento,Energía,Alimento
ARGENFOOD,argen_pescados.xls,"Abadejo, fresco, crudo, carne",72,Abadejo Carne
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, a la parrilla, músculo dorsal",183,Amarillo A La Parrilla Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, al horno, músculo dorsal",233,Amarillo Al Horno Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, crudo, músculo dorsal",141,Amarillo Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, frito, músculo dorsal",232,Amarillo Frito Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Amarillo, fresco, hervido, músculo dorsal",180,Amarillo Hervido Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Anchoa, fresca, cruda, carne",92,Anchoa Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Anchoita, fresca, cruda, carne",129,Anchoita Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Armado, fresco, al horno, músculo dorsal",128,Armado Al Horno Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Armado, fresco, crudo, músculo dorsal",75,Armado Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Armado, fresco, crudo, músculo ventral",103,Armado Musculo Ventral
ARGENFOOD,argen_pescados.xls,"Armado, fresco, frito, músculo dorsal",130,Armado Frito Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Armado, fresco, hervido, músculo dorsal",102,Armado Hervido Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Besugo, fresco, crudo, carne",100,Besugo Carne
ARGENFOOD,argen_pescados.xls,"Boga, fresca, a la parrilla, músculo dorsal",150,Boga Fresca A La Parrilla Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Boga, fresca, al horno, músculo dorsal",150,Boga Fresca Al Horno Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Boga, fresca, cruda, músculo ventral",180,Boga Fresca Cruda Musculo Ventral
ARGENFOOD,argen_pescados.xls,"Boga, fresca, frita, músculo dorsal",168,Boga Fresca Frita Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Boga, fresca, hervida, músculo dorsal",158,Boga Fresca Hervida Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Bonito, fresco, crudo, carne",219,Bonito Carne
ARGENFOOD,argen_pescados.xls,"Brótola, fresca, cruda, carne",83,Brotola Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Caballa, fresca, cruda, carne",232,Caballa Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Castañeta, fresca, cruda, carne",95,Castaneta Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Castañeta, fresca, cruda, entera",170,Castaneta Fresca Cruda Entera
ARGENFOOD,argen_pescados.xls,"Congrio, fresco, crudo, carne",107,Congrio Carne
ARGENFOOD,argen_pescados.xls,"Cornalito, fresco, crudo, entero",86,Cornalito Entero
ARGENFOOD,argen_pescados.xls,"Corvina blanca, fresca, cruda, carne",97,Corvina Blanca Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Corvina negra, fresca, cruda, carne",84,Corvina Negra Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Dorado, fresco, crudo, carne",80,Dorado Carne
ARGENFOOD,argen_pescados.xls,"Gatuso, fresco, crudo, carne",72,Gatuso Carne
ARGENFOOD,argen_pescados.xls,"Jurel, fresco, crudo, carne",149,Jurel Carne
ARGENFOOD,argen_pescados.xls,"Lenguado, fresco, crudo, carne",78,Lenguado Carne
ARGENFOOD,argen_pescados.xls,"Lisa, fresca, cruda, carne",146,Lisa Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Merluza, fresca, cruda, carne",81,Merluza Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Mero, fresco, crudo, carne",83,Mero Carne
ARGENFOOD,argen_pescados.xls,"Moncholo, fresco, al horno, músculo dorsal",189,Moncholo Al Horno Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Moncholo, fresco, crudo, músculo dorsal",112,Moncholo Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Moncholo, fresco, crudo, músculo ventral",148,Moncholo Musculo Ventral
ARGENFOOD,argen_pescados.xls,"Moncholo, fresco, hervido, músculo dorsal",187,Moncholo Hervido Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Palometa, fresca, cruda, carne",215,Palometa Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Pargo, fresco, crudo, carne",113,Pargo Carne
ARGENFOOD,argen_pescados.xls,"Patí, fresco, a la parrilla, músculo dorsal",169,Pati A La Parrilla Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Patí, fresco, al horno, músculo dorsal",183,Pati Al Horno Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Patí, fresco, crudo, carne",90,Pati Carne
ARGENFOOD,argen_pescados.xls,"Patí, fresco, crudo, músculo dorsal",161,Pati Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Patí, fresco, crudo, músculo ventral",159,Pati Musculo Ventral
ARGENFOOD,argen_pescados.xls,"Patí, fresco, frito, músculo dorsal",215,Pati Frito Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Patí, fresco, hervido, músculo dorsal",133,Pati Hervido Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Pejerrey agua dulce, fresco, crudo, carne",77,Pejerrey Agua Dulce Carne
ARGENFOOD,argen_pescados.xls,"Pejerrey mar, fresco, crudo, carne",86,Pejerrey Mar Carne
ARGENFOOD,argen_pescados.xls,"Pescadilla, fresca, crudo, carne",97,Pescadilla Fresca Carne
ARGENFOOD,argen_pescados.xls,"Pez Gallo, fresco, crudo, carne",84,Pez Gallo Carne
ARGENFOOD,argen_pescados.xls,"Pez palo, fresco, crudo, carne",96,Pez Palo Carne
ARGENFOOD,argen_pescados.xls,"Rubio, fresco, crudo, carne",109,Rubio Carne
ARGENFOOD,argen_pescados.xls,"Sábalo, fresco, a la parrilla, músculo dorsal",130,Sabalo A La Parrilla Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Sábalo, fresco, al horno, músculo dorsal",153,Sabalo Al Horno Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Sábalo, fresco, crudo, músculo dorsal",145,Sabalo Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Sábalo, fresco, crudo, músculo ventral",151,Sabalo Musculo Ventral
ARGENFOOD,argen_pescados.xls,"Sábalo, fresco, frito, músculo dorsal",166,Sabalo Frito Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Sábalo, fresco, hervido, músculo dorsal",130,Sabalo Hervido Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Sardina fueguina, fresca, cruda, carne",136,Sardina Fueguina Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Surubí, fresco, al horno, músculo dorsal",255,Surubi Al Horno Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Surubí, fresco, crudo, carne",110,Surubi Carne
ARGENFOOD,argen_pescados.xls,"Surubí, fresco, crudo, músculo dorsal",187,Surubi Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Surubí, fresco, frito, músculo dorsal",269,Surubi Frito Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Surubí, fresco, hervido, músculo dorsal",186,Surubi Hervido Musculo Dorsal
ARGENFOOD,argen_pescados.xls,"Tararira, fresca, cruda, carne",79,Tararira Fresca Cruda Carne
ARGENFOOD,argen_pescados.xls,"Testolin, fresco, crudo, carne",98,Testolin Carne
ARGENFOOD,argen_pescados.xls,"Calamar, fresco, crudo (tubo aletas y tentáculos)",79,Calamar (Tubo Aletas Y Tentaculos)
ARGENFOOD,argen_pescados.xls,"Calamar, fresco, entero, crudo",80,Calamar Entero
ARGENFOOD,argen_pescados.xls,"Camarón, fresco, crudo, carne de cola",91,Camaron Carne De Cola
ARGENFOOD,argen_pescados.xls,"Centolla, fresca, carne, cruda",66,Centolla Fresca Carne Cruda
ARGENFOOD,argen_pescados.xls,"Centolla, fresca (carne de pata solamente)",83,Centolla Fresca (Carne De Pata Solamente)
ARGENFOOD,argen_pescados.xls,"Langostino, fresco, crudo, carne de cola",97,Langostino Carne De Cola
ARGENFOOD,argen_pescados.xls,"Mejillón, fresco, crudo (capturado en primavera)",95,Mejillon (Capturado En Primavera)
ARGENFOOD,argen_pescados.xls,"Mejillón, fresco, crudo, carne",64,Mejillon Carne
ARGENFOOD,argen_pescados.xls,"Mejillón, fresco, pre-cocido, carne",84,Mejillon Pre- Carne
ARGENFOOD,argen_pescados.xls,"Ancho, pasta",202,Ancho Pasta
ARGENFOOD,argen_pescados.xls,"Caballa, tronco",212,Caballa Tronco
ARGENFOOD,argen_prodaz.xls,Alimento,Energía,Alimento
ARGENFOOD,argen_prodaz.xls,"Batata, dulce",263,Batata Dulce
ARGENFOOD,argen_prodaz.xls,Chocolatín,549,Chocolatin
ARGENFOOD,argen_prodaz.xls,"Ciruela, mermelada",306,Ciruela Mermelada
ARGENFOOD,argen_prodaz.xls,Dulce de leche,314,Dulce De Leche
ARGENFOOD,argen_prodaz.xls,Dulce de Leche Light,260,Dulce De Leche Light
ARGENFOOD,argen_prodaz.xls,Dulce de leche para reposteria,317,Dulce De Leche Para Reposteria
ARGENFOOD,argen_prodaz.xls,Dulce de leche repostero suelto,337,Dulce De Leche Repostero Suelto
ARGENFOOD,argen_prodaz.xls,"Durazno, mermelada",304,Durazno Mermelada
ARGENFOOD,argen_prodaz.xls,"Frutilla, mermelada",309,Frutilla Mermelada
ARGENFOOD,argen_prodaz.xls,"Leche, dulce de leche",341,Leche Dulce De Leche
ARGENFOOD,argen_vegetales.xls,Alimento,Energía,Alimento
ARGENFOOD,argen_vegetales.xls,"Acelga, hoja",15,Acelga Hoja
ARGENFOOD,argen_vegetales.xls,"Acelga, tallo",8,Acelga Tallo
ARGENFOOD,argen_vegetales.xls,Achicoria de Monte,46,Achicoria De Monte
ARGENFOOD,argen_vegetales.xls,"Achicoria, hoja, fresca, cruda",21,Achicoria Hoja Fresca Cruda
ARGENFOOD,argen_vegetales.xls,Achira (raíces),34,Achira (Raices)
ARGENFOOD,argen_vegetales.xls,"Ajo, bulbo, fresco, crudo",99,Ajo Bulbo
ARGENFOOD,argen_vegetales.xls,"Alcaucil, inflorescencia, fresco, crudo",63,Alcaucil Inflorescencia
ARGENFOOD,argen_vegetales.xls,"Alfalfa, hoja, fresca, cruda",57,Alfalfa Hoja Fresca Cruda
ARGENFOOD,argen_vegetales.xls,"Arveja, semilla, fresca, cruda",102,Arveja Semilla Fresca Cruda
ARGENFOOD,argen_vegetales.xls,"Arveja, semilla, fresca, enlatada",105,Arveja Semilla Fresca Enlatada
ARGENFOOD,argen_vegetales.xls,"Arveja, semilla, fresca, hervida",77,Arveja Semilla Fresca Hervida
ARGENFOOD,argen_vegetales.xls,"Arveja, semilla, seca, entera, cruda",304,Arveja Semilla Seca Entera Cruda
ARGENFOOD,argen_vegetales.xls,"Arveja, semilla, seca, partida, cruda",311,Arveja Semilla Seca Partida Cruda
ARGENFOOD,argen_vegetales.xls,"Arveja, semilla, seca, partida, hervida",129,Arveja Semilla Seca Partida Hervida
ARGENFOOD,argen_vegetales.xls,"Avellana, pepita, seca",668,Avellana Pepita Seca
ARGENFOOD,argen_vegetales.xls,"Batata, frita",212,Batata Frita
ARGENFOOD,argen_vegetales.xls,"Batata, hervida",92,Batata Hervida
ARGENFOOD,argen_vegetales.xls,"Batata, raiz, fresca, cruda",84,Batata Raiz Fresca Cruda
ARGENFOOD,argen_vegetales.xls,"Berenjena, pulpa, fresca, cruda",28,Berenjena Pulpa Fresca Cruda
ARGENFOOD,argen_vegetales.xls,"Berro (hojas y tallo), fresco, crudo",23,Berro (Hojas Y Tallo)
ARGENFOOD,argen_vegetales.xls,"Brócoli, tallo de hoja, fresco, crudo",37,Brocoli Tallo De Hoja
ARGENFOOD,argen_vegetales.xls,"Cardo (penca y hojas), fresco, crudo",25,Cardo (Penca Y Hojas)
ARGENFOOD,argen_vegetales.xls,"Castaña de Pará, pepita, cruda",731,Castana De Para Pepita Cruda
ARGENFOOD,argen_vegetales.xls,"Cebolla blanca, bulbo, cruda",17,Cebolla Blanca Bulbo Cruda
ARGENFOOD,argen_vegetales.xls,"Cebolla blanca, bulbo, hervida",10,Cebolla Blanca Bulbo Hervida
ARGENFOOD,argen_vegetales.xls,"Chaucha, vaina y semilla, cruda",22,Chaucha Vaina Y Semilla Cruda
ARGENFOOD,argen_vegetales.xls,"Coliflor, pimpollo, fresco, crudo",31,Coliflor Pimpollo
ARGENFOOD,argen_vegetales.xls,"Diente de león, hoja",33,Diente De Leon Hoja
ARGENFOOD,argen_vegetales.xls,"Escarola crespa, hoja, cruda",24,Escarola Crespa Hoja Cruda
ARGENFOOD,argen_vegetales.xls,"Esparrago, tallo tierno, fresco, crudo",26,Esparrago Tallo Tierno
ARGENFOOD,argen_vegetales.xls,"Espinaca, hoja, fresca, cruda",24,Espinaca Hoja Fresca Cruda
ARGENFOOD,argen_vegetales.xls,"Espinaca, hoja, fresca, hervida",13,Espinaca Hoja Fresca Hervida
ARGENFOOD,argen_vegetales.xls,"Garbanzo, grano entero, seco, hervido",125,Garbanzo Grano Entero Seco Hervido
ARGENFOOD,argen_vegetales.xls,"Habas, semilla inmadura, fresca, cruda",99,Habas Semilla Inmadura Fresca Cruda
ARGENFOOD,argen_vegetales.xls,"Hinojo, tallo, fresco, crudo",24,Hinojo Tallo
ARGENFOOD,argen_vegetales.xls,"Lengua de vaca, hojas, tejido fresco, parte comestible",43,Lengua De Vaca Hojas Tejido
ARGENFOOD,argen_vegetales.xls,"Lenteja, semilla entera, seca, cruda",350,Lenteja Semilla Entera Seca Cruda
ARGENFOOD,argen_vegetales.xls,"Lupino andino, con cáscara, semilla, crudo",399,Lupino Andino Semilla
ARGENFOOD,argen_vegetales.xls,"Lupino andino, sin cáscara, semilla, crudo",411,Lupino Andino Semilla
ARGENFOOD,argen_vegetales.xls,"Maní, semilla con piel, crudo",576,Mani Semilla Con Piel
ARGENFOOD,argen_vegetales.xls,"Maní, semilla sin piel, tostado",592,Mani Semilla Sin Piel Tostado
ARGENFOOD,argen_vegetales.xls,"Mastuerzo (hoja y pecíolo), fresco, crudo",51,Mastuerzo (Hoja Y Peciolo)
ARGENFOOD,argen_vegetales.xls,"Mastuerzo, hoja",50,Mastuerzo Hoja
ARGENFOOD,argen_vegetales.xls,"Nabo, hervido",11,Nabo Hervido
ARGENFOOD,argen_vegetales.xls,"Nabo, raiz (pulpa), fresco, crudo",10,Nabo Raiz (Pulpa)
ARGENFOOD,argen_vegetales.xls,"Nuez, pepita",715,Nuez Pepita
ARGENFOOD,argen_vegetales.xls,"Papa, pulpa sin cáscara, fresca, cruda",88,Papa Pulpa Fresca Cruda
ARGENFOOD,argen_vegetales.xls,"Papa, pulpa sin cáscara, frita, bastón",162,Papa Pulpa Frita Baston
ARGENFOOD,argen_vegetales.xls,"Papa, pulpa sin cáscara, hervida",88,Papa Pulpa Hervida
ARGENFOOD,argen_vegetales.xls,"Pepino, pulpa, fresco, crudo",15,Pepino Pulpa
ARGENFOOD,argen_vegetales.xls,"Perejil, hoja, fresco, crudo",60,Perejil Hoja
ARGENFOOD,argen_vegetales.xls,"Piñon de araucaria, pepita, crudo",221,Pinon De Araucaria Pepita
ARGENFOOD,argen_vegetales.xls,"Pistacho, pepita, crudo",648,Pistacho Pepita
ARGENFOOD,argen_vegetales.xls,"Poroto Alubia, semilla, seco",337,Poroto Alubia Semilla Seco
ARGENFOOD,argen_vegetales.xls,"Poroto Carioca, semilla, seco",336,Poroto Carioca Semilla Seco
ARGENFOOD,argen_vegetales.xls,"Poroto Colorado, semilla, seco",333,Poroto Colorado Semilla Seco
ARGENFOOD,argen_vegetales.xls,"Poroto Grand Berry, semilla, seco",336,Poroto Grand Berry Semilla Seco
ARGENFOOD,argen_vegetales.xls,"Poroto Great Northern, semilla, seco",326,Poroto Great Northern Semilla Seco
ARGENFOOD,argen_vegetales.xls,"Poroto Negro, semilla, seco",306,Poroto Negro Semilla Seco
ARGENFOOD,argen_vegetales.xls,"Poroto Novy Bean, semilla, seco",336,Poroto Novy Bean Semilla Seco
ARGENFOOD,argen_vegetales.xls,"Poroto Oval, semilla, seco",328,Poroto Oval Semilla Seco
ARGENFOOD,argen_vegetales.xls,"Poroto Pallares, semilla, seco",322,Poroto Pallares Semilla Seco
ARGENFOOD,argen_vegetales.xls,"Poroto Small Red, semilla, seco",336,Poroto Small Red Semilla Seco
ARGENFOOD,argen_vegetales.xls,"Poroto, semilla, enlatado",89,Poroto Semilla Enlatado
ARGENFOOD,argen_vegetales.xls,"Poroto, semilla, seco, crudo",290,Poroto Semilla Seco
ARGENFOOD,argen_vegetales.xls,"Puerro (bulbo, tallo y hojas), fresco, crudo",45,Puerro (Bulbo Tallo Y Hojas)
ARGENFOOD,argen_vegetales.xls,"Quinua, harina",341,Quinua Harina
ARGENFOOD,argen_vegetales.xls,"Quinua, semilla, cruda",354,Quinua Semilla Cruda
ARGENFOOD,argen_vegetales.xls,"Rabanito, raiz, fresco, crudo",29,Rabanito Raiz
ARGENFOOD,argen_vegetales.xls,"Remolacha, tubérculo, fresca, cruda",54,Remolacha Tuberculo Fresca Cruda
ARGENFOOD,argen_vegetales.xls,"Remolacha, tubérculo, hervida",36,Remolacha Tuberculo Hervida
ARGENFOOD,argen_vegetales.xls,"Repollito Bruselas, hoja, fresco, crudo",58,Repollito Bruselas Hoja
ARGENFOOD,argen_vegetales.xls,"Repollo blanco, hoja, fresco, crudo",17,Repollo Blanco Hoja
ARGENFOOD,argen_vegetales.xls,"Repollo blanco, hoja, hervido",16,Repollo Blanco Hoja Hervido
ARGENFOOD,argen_vegetales.xls,"Salsifí, raiz, fresco, crudo",85,Salsifi Raiz
ARGENFOOD,argen_vegetales.xls,"Soja FT11, poroto seco",368,Soja Ft11 Poroto Seco
ARGENFOOD,argen_vegetales.xls,"Soja, semilla madura, seca, cruda",356,Soja Semilla Madura Seca Cruda
ARGENFOOD,argen_vegetales.xls,"Tapioca, cruda (harina mandioca)",336,Tapioca Cruda (Harina Mandioca)
ARGENFOOD,argen_vegetales.xls,"Tapioca, hervida",55,Tapioca Hervida
ARGENFOOD,argen_vegetales.xls,"Tomate, fresco, crudo",20,Tomate
ARGENFOOD,argen_vegetales.xls,"Tomate, hervido",21,Tomate Hervido
ARGENFOOD,argen_vegetales.xls,"Tomate, jugo, fresco",11,Tomate Jugo
ARGENFOOD,argen_vegetales.xls,"Verdolaga, hoja",32,Verdolaga Hoja
ARGENFOOD,argen_vegetales.xls,"Verdolaga, hoja y tallo, fresca, cruda",23,Verdolaga Hoja Y Tallo Fresca Cruda
ARGENFOOD,argen_vegetales.xls,"Yuyo colorado, hoja",60,Yuyo Colorado Hoja
ARGENFOOD,argen_vegetales.xls,"Zanahoria, jugo, fresco",22,Zanahoria Jugo
ARGENFOOD,argen_vegetales.xls,"Zapallito, parte tierna, fresco, crudo",13,Zapallito Parte Tierna
ARGENFOOD,argen_vegetales.xls,"Zapallito, parte tierna, hervido",16,Zapallito Parte Tierna Hervido
ARGENFOOD,argen_vegetales.xls,"Zapallo, pulpa, fresco, crudo",27,Zapallo Pulpa
ARGENFOOD,argen_vegetales.xls,"Zapallo, pulpa, hervido",20,Zapallo Pulpa Hervido
